Cumulative Instructions,IPC_19,IPC_03,Speed_up
3.8E+11,2.5112,3.2519,1.294958586
3.8E+11,2.5578,3.2519,1.271366018
3.81E+11,2.5446,3.2742,1.286724829
3.82E+11,2.4874,3.2385,1.301961888
3.83E+11,2.5271,3.2027,1.267342013
3.84E+11,2.4684,3.2902,1.332928213
3.85E+11,2.2557,3.2331,1.433302301
3.85E+11,1.7331,3.2331,1.865501125
3.86E+11,0.9922,3.176,3.200967547
3.86E+11,0.9986,3.176,3.180452634
3.86E+11,1.0596,3.176,2.997357493
3.87E+11,1.5191,2.6653,1.754525706
3.88E+11,2.0175,2.7282,1.352267658
3.88E+11,0.9674,2.7282,2.820136448
3.88E+11,0.9644,2.7282,2.828909166
3.89E+11,0.9712,2.6283,2.706239703
3.89E+11,0.9693,2.6283,2.711544413
3.89E+11,0.9731,2.6283,2.700955709
3.9E+11,0.9831,2.6674,2.713253992
3.9E+11,0.9913,2.6674,2.690810047
3.9E+11,1.4626,2.6674,1.823738548
