Time_03,IPC_03,Time_19,IPC_19
26.47361898,1.1696,26.4836881,1.205491386
26.57375997,1.25,26.58385338,1.167738663
26.67390036,1.2241,26.68402065,1.160132594
26.77404657,1.2468,26.78421744,1.152525367
26.87420378,1.2337,26.88439591,1.170205571
26.97434854,1.2371,26.98455883,1.173520618
27.0744884,1.2548,27.08472448,1.163450153
27.17463164,1.2667,27.18488986,1.172638199
27.2747733,1.1738,27.28504933,1.173581154
27.37491076,1.1741,27.38522177,1.146784898
27.47505015,1.1694,27.48539306,1.084176947
27.57519137,1.1877,27.58555876,1.143715725
27.67532894,1.1729,27.68572621,1.103242595
27.77547807,1.1847,27.78592551,1.134783735
27.87561715,1.1194,27.88616468,1.120067655
27.97575421,1.1316,27.98633156,1.151173052
28.0760478,3.4247,28.0864917,1.118675004
33.01058674,2.9503,28.18665524,1.150080629
33.11074232,2.624,28.28681792,1.109682917
33.21092229,2.7639,28.38697701,1.163262565
33.3110878,2.6731,28.4871437,1.095478676
33.41126464,2.532,28.58732045,1.220291153
33.51142876,2.8216,28.68749301,1.144759653
33.61159212,2.532,28.78765991,1.199991933
33.71176206,2.745,28.88782436,1.159970647
33.81194099,2.6128,28.98798658,1.150204742
33.91226498,2.6675,29.08815242,1.128980768
38.9372117,4.1438,29.18831733,1.196167258
39.03738389,3.8747,29.28847655,1.180368045
39.13754868,3.5458,29.38864275,1.173618839
39.23771404,2.8372,29.48883195,1.117448262
39.33787952,4.1785,29.58900137,1.162112142
39.43804742,4.4885,29.68917942,1.109217072
39.53821817,2.107,29.78934832,1.124530778
39.63837895,4.533,29.8895212,1.118342032
39.73854114,3.2929,29.98968598,1.109808039
39.8387048,2.7937,30.08985141,1.127657502
39.93887218,3.7698,30.19001625,1.142849164
40.0390344,4.2794,30.29017963,1.121888877
40.13919807,2.1349,30.3903539,1.135081368
40.23936229,4.5235,30.49051861,1.143446965
40.33952247,3.3029,30.59068517,1.118086723
40.43970204,2.8818,30.69085018,1.152984848
40.53986811,3.7906,30.79101316,1.20881197
40.64003118,4.2399,30.89117652,1.17472701
40.74019093,2.1348,30.99134491,1.161182378
40.84035365,4.5292,31.091519,1.124599497
40.94051521,3.2896,31.19168502,1.198905437
41.04058803,2.8276,31.2918618,1.172706434
41.14075284,3.9226,31.39202597,1.167390476
41.24091982,4.054,31.49219239,1.144774091
41.34109801,2.2847,31.59235637,1.19577397
41.44126629,4.3871,31.69251721,1.161078909
41.54142786,3.3469,31.79268284,1.090855538
41.64159378,2.8764,31.89284929,1.137464216
41.74176017,3.9711,31.99301433,1.105527052
41.84192486,4.0047,32.09319089,1.122478384
41.94225991,2.083,32.19335255,1.116915402
46.96690778,2.8212,32.29351839,1.140688291
47.06707467,2.6912,32.39368059,1.130241279
47.16723998,2.7655,32.49384611,1.149384326
47.26739611,2.7966,32.59401446,1.105130225
47.36753196,2.789,32.6941988,1.159977234
47.46766084,2.8132,32.79436543,1.11636132
47.56779756,3.0839,32.89452994,1.214427634
