Cumulative Instructions,IPC_03
4.29E+11,3.0923
4.31E+11,2.712
4.32E+11,2.7205
4.33E+11,2.6188
4.34E+11,2.7089
4.36E+11,2.6958
4.37E+11,2.1057
4.38E+11,2.1445
4.39E+11,2.1698
4.40E+11,2.6387
4.41E+11,2.7455
4.42E+11,2.6173
4.43E+11,2.3882
4.45E+11,3.2406
4.46E+11,3.2451
4.48E+11,3.2546
4.49E+11,3.17
4.51E+11,3.3529
4.51E+11,2.9528
4.52E+11,3.1081
4.53E+11,3.7246
4.55E+11,3.5781
4.57E+11,4.0036
4.58E+11,3.6384
4.60E+11,3.8489
4.62E+11,3.6803
4.63E+11,3.8611
4.65E+11,3.6631
4.67E+11,3.8443
4.69E+11,3.6514
4.70E+11,3.6322
4.70E+11,0.7457
4.70E+11,2.6287
4.71E+11,2.8701
4.73E+11,3.222
4.74E+11,3.2141
4.75E+11,3.1459
4.77E+11,3.2616
4.78E+11,3.2424
4.80E+11,3.1509
4.81E+11,3.2653
4.83E+11,3.2351
4.84E+11,3.1423
4.86E+11,3.2592
4.87E+11,3.2282
4.89E+11,3.1535
4.90E+11,3.2634
4.92E+11,3.2283
4.93E+11,3.1461
4.95E+11,3.256
4.96E+11,3.2516
4.97E+11,3.1387
4.99E+11,3.2619
5.00E+11,3.2381
5.02E+11,3.1492
5.03E+11,3.2557
5.05E+11,3.2188
5.06E+11,3.1473
5.08E+11,3.2679
5.09E+11,3.2383
5.11E+11,3.147
5.12E+11,3.2585
5.14E+11,3.2345
5.15E+11,3.1449
5.17E+11,3.2446
5.18E+11,3.2171
5.20E+11,3.1389
5.21E+11,3.2529
5.22E+11,3.2233
5.24E+11,3.1474
5.25E+11,3.2525
5.26E+11,3.462
5.27E+11,2.7757
5.28E+11,3.3552
5.29E+11,3.7129
5.30E+11,1.8649
5.31E+11,1.6689
5.32E+11,2.4796
5.33E+11,1.5086
5.34E+11,3.3919
5.35E+11,2.9315
5.36E+11,0.9576
5.37E+11,2.7212
5.38E+11,1.7766
5.39E+11,2.7461
5.41E+11,3.5427
5.41E+11,1.0512
5.42E+11,2.3051
5.43E+11,2.1001
5.44E+11,2.2923
5.46E+11,3.6599
5.47E+11,1.4875
5.48E+11,1.9678
5.49E+11,2.335
5.50E+11,1.8789
5.51E+11,3.6918
5.52E+11,1.9394
5.53E+11,1.6529
5.54E+11,2.4804
5.55E+11,1.4494
5.55E+11,3.2567
5.57E+11,4.2504
5.58E+11,2.8049
5.59E+11,2.7587
5.60E+11,2.4789
5.62E+11,2.5431
5.63E+11,2.5638
5.64E+11,2.5525
5.65E+11,2.7054
5.66E+11,1.5889
5.67E+11,2.0055
5.68E+11,2.0729
5.69E+11,2.084
5.70E+11,2.0695
5.70E+11,2.0719
5.71E+11,2.0838
5.72E+11,2.0665
5.73E+11,2.1222
5.74E+11,2.1237
5.75E+11,2.0708
5.76E+11,2.0566
5.78E+11,2.8269
5.79E+11,2.7557
5.80E+11,2.4789
5.81E+11,2.5477
5.82E+11,2.568
5.83E+11,2.5508
5.85E+11,2.6481
5.85E+11,1.6106
5.86E+11,2.0215
5.87E+11,2.0663
5.88E+11,2.0799
5.89E+11,2.0788
5.90E+11,2.079
5.91E+11,2.0889
5.92E+11,2.0631
5.93E+11,2.136
5.94E+11,2.1245
5.95E+11,2.048
5.96E+11,2.0851
5.97E+11,2.8205
5.98E+11,2.7576
5.99E+11,2.4485
6.01E+11,2.546
6.02E+11,2.5668
6.03E+11,2.558
6.04E+11,2.3885
6.05E+11,1.7862
6.06E+11,2.0309
6.07E+11,2.0709
6.08E+11,2.0777
6.09E+11,2.073
6.10E+11,2.1151
6.11E+11,2.126
6.11E+11,2.0811
6.12E+11,2.0663
6.13E+11,2.0538
6.14E+11,2.0566
6.15E+11,2.222
6.17E+11,2.7939
6.18E+11,2.8044
6.19E+11,2.3873
6.20E+11,2.5548
6.21E+11,2.557
6.22E+11,2.5619
6.23E+11,2.2015
6.24E+11,1.9114
6.25E+11,2.0402
6.26E+11,2.065
6.27E+11,2.082
6.28E+11,2.1176
6.29E+11,2.129
6.30E+11,2.0391
6.31E+11,2.0581
6.32E+11,2.0684
6.33E+11,2.0636
6.34E+11,2.0778
6.35E+11,2.3332
6.36E+11,2.7763
6.37E+11,2.7008
6.39E+11,2.4741
6.40E+11,2.5462
6.41E+11,2.5609
6.42E+11,2.5559
6.43E+11,2.1093
6.44E+11,1.9708
6.45E+11,2.0534
6.46E+11,2.0891
6.47E+11,2.0938
6.48E+11,2.1239
6.49E+11,2.0623
6.50E+11,2.0586
6.51E+11,2.0644
6.51E+11,2.0733
6.52E+11,2.064
6.53E+11,2.0703
6.54E+11,2.0895
6.54E+11,2.9876
6.56E+11,2.8984
6.56E+11,1.9901
6.57E+11,2.0299
6.59E+11,4.3314
6.61E+11,4.5464
6.63E+11,4.3456
6.64E+11,2.3353
6.65E+11,2.5723
6.66E+11,2.5863
6.67E+11,2.886
6.69E+11,2.3481
6.70E+11,2.0709
6.71E+11,3.5871
6.73E+11,4.5484
6.75E+11,4.5433
6.76E+11,2.3346
6.77E+11,2.5699
6.79E+11,2.5855
6.80E+11,2.8941
6.81E+11,2.3202
6.82E+11,2.0744
6.84E+11,3.6187
6.86E+11,4.5391
6.88E+11,4.5393
6.89E+11,2.3013
6.90E+11,2.5802
6.91E+11,2.5743
6.92E+11,2.9041
6.93E+11,2.305
6.94E+11,2.0894
6.96E+11,3.6757
6.98E+11,4.5446
7.00E+11,4.5397
7.01E+11,2.2642
7.02E+11,2.5773
7.04E+11,2.5802
7.05E+11,2.914
7.06E+11,2.2856
7.07E+11,2.0967
7.08E+11,3.5506
7.10E+11,4.529
7.13E+11,4.535
7.14E+11,2.361
7.15E+11,2.5727
7.16E+11,2.5838
7.16E+11,2.5436
7.16E+11,1.5352
7.17E+11,2.6744
7.18E+11,2.012
7.19E+11,2.3263
7.20E+11,2.7837
7.21E+11,2.7316
7.22E+11,2.1848
7.23E+11,3.2911
7.24E+11,2.202
7.25E+11,2.4186
7.27E+11,3.0498
7.27E+11,2.2357
7.29E+11,2.7022
7.30E+11,2.8223
7.31E+11,2.4921
7.32E+11,2.6063
7.33E+11,2.542
7.34E+11,2.9536
7.35E+11,2.3495
7.36E+11,2.299
7.38E+11,3.2916
7.39E+11,2.1892
7.39E+11,2.9302
7.40E+11,3.9759
7.42E+11,4.7287
7.43E+11,3.2785
7.44E+11,2.854
7.45E+11,2.7925
7.46E+11,2.2996
7.47E+11,2.2017
7.48E+11,2.3783
7.49E+11,2.148
7.50E+11,2.4733
7.51E+11,2.4786
7.52E+11,2.4583
7.53E+11,2.1841
7.54E+11,2.3694
7.55E+11,2.5056
7.56E+11,2.5275
7.57E+11,2.2087
7.59E+11,2.2866
7.60E+11,2.4958
7.61E+11,2.6022
7.62E+11,2.2177
7.63E+11,2.2231
7.64E+11,2.4772
7.65E+11,2.6733
7.66E+11,2.204
7.67E+11,2.1816
7.68E+11,2.4884
7.69E+11,2.4946
7.69E+11,1.0145
7.70E+11,2.4305
7.71E+11,2.4327
7.72E+11,2.8959
7.73E+11,3.2399
7.75E+11,2.9592
7.76E+11,3.1172
7.77E+11,2.8458
7.79E+11,3.067
7.80E+11,3.1396
7.82E+11,3.0671
7.83E+11,3.2036
7.84E+11,2.9738
7.86E+11,3.1277
7.87E+11,2.8555
7.89E+11,3.0964
7.90E+11,3.0628
7.91E+11,3.1792
7.93E+11,3.1239
7.94E+11,3.0552
7.96E+11,3.105
7.97E+11,2.8679
7.98E+11,3.0589
8.00E+11,3.1226
8.01E+11,3.1982
8.03E+11,3.0396
8.04E+11,3.1001
8.05E+11,2.9765
8.07E+11,2.9967
8.08E+11,2.9899
8.10E+11,3.2039
8.11E+11,3.1273
8.12E+11,3.0848
8.14E+11,3.0474
8.15E+11,3.0065
8.17E+11,3.0221
8.18E+11,3.0773
8.19E+11,3.1331
8.19E+11,0.3539
8.19E+11,2.8246
8.20E+11,1.609
8.21E+11,1.5542
8.22E+11,1.9383
8.22E+11,1.8619
8.23E+11,2.4338
